Rank,Company,Tier,Segment,Sub-Segment,Region,HQ,Weather Hook (why they buy),Key Assets / Notes
57,Valero — Corpus Christi (East+West) TX,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Lightning; hurricane approach; 95F heat ops,~290 kbd
58,Valero — Houston TX,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Ship Channel fog/surge,~205 kbd
59,Valero — McKee (Sunray) TX,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Panhandle blizzards; tornado alley,~200 kbd
60,Valero — Memphis TN,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Mississippi River flooding; tornadoes,~195 kbd
61,Valero — Meraux LA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Surge-vulnerable parish ops,~135 kbd
62,Valero — Port Arthur TX,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Surge + lightning corridor,~335 kbd
63,Valero — St. Charles (Norco) LA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Direct hurricane path; lightning,~340 kbd
64,Valero — Texas City TX,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Hurricane hyper-corridor,~475 kbd (combined)
65,Valero — Three Rivers TX,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Eagle Ford storm corridor,~89 kbd
66,Valero — Wilmington (Los Angeles) CA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Port congestion + heat + marine layer,~135 kbd
67,bp — Cherry Point WA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Pacific storms; fog berthing,~230 kbd
68,bp — Toledo OH,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Lake-effect; ice,~160 kbd
69,bp — Whiting IN,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Lake-effect snow; Uri-lineage freeze,~430 kbd
70,Aries Marine,1 - Existential,Offshore E&P,Marine Support,US Gulf,Gulf Coast,Morgan City OSV fleet; storm-bound ops,Gulf OSV operator
71,Bordelon Marine,1 - Existential,Offshore E&P,Marine Support,US Gulf,Gulf Coast,Fourchon OSV + liftboats,Family Gulf operator
72,Cox Oil,1 - Existential,Offshore E&P,Operator (Private),US Gulf,Private,GoM shelf operator (Ch.11 2023 restructuring); storm-exposed shelf assets,Restructuring = cost focus
73,Jackson Offshore Operators,1 - Existential,Offshore E&P,Marine Support,US Gulf,Gulf Coast,New Orleans deepwater OSVs; MSV fleet,Gulf OSV operator
74,LLOG Exploration,1 - Existential,Offshore E&P,Operator (Private),US Gulf,Private,Major private GoM deepwater operator; Who Dat + Buckskin; every storm is P&L,Verified active GoM operator
75,Otto Candies,1 - Existential,Offshore E&P,Marine Support,US Gulf,Gulf Coast,Gulf OSV/supply + subsea support; Fourchon-based,Family-owned Gulf fleet
76,Ridgewood Energy,1 - Existential,Offshore E&P,Operator (Private),US Gulf,Private,GoM deepwater investor-operator; severe weather exposure,PE-backed GoM portfolio
77,Cantium,2 - Expensive,Shale/Onshore E&P,Operator (Private),US Gulf/Permian,Private,Gulf Coast producer; hurricane + freeze exposure,Former Fieldwood assets
78,Hibernia Energy,2 - Expensive,Shale/Onshore E&P,Operator (Private),US Gulf/Permian,Private,Gulf Coast gas,Hurricane corridor
79,Rockcliff Energy,2 - Expensive,Shale/Onshore E&P,Operator (Private),US Gulf/Permian,Private,Haynesville private,Hurricane corridor gas
80,Tap Rock (NGP),2 - Expensive,Shale/Onshore E&P,Operator (Private),US Gulf/Permian,Private,New Mexico Delaware; private NGP portfolio,Water + ops weather
81,Validus Energy,2 - Expensive,Shale/Onshore E&P,Operator (Private),US Gulf/Permian,Private,Eagle Ford; private,Storm corridor ops
82,Vital Energy,2 - Expensive,Shale/Onshore E&P,Operator (Private),US Gulf/Permian,Private,Permian pure-play public; heat + lightning exposure,Multiple Delaware assets
83,Bharat Oman Refineries (BORL),3 - International,International E&P/Refining,Refiner,India,Regional HQ,Bina; central India heat + monsoon,~156 kbd
84,Bharat Petroleum (BPCL),3 - International,International E&P/Refining,Refiner,India,Regional HQ,Kochi + Mumbai + Numaligarh stake; monsoon + cyclones,~700 kbd gross
85,CPC Corporation (Taiwan),3 - International,International E&P/Refining,Refiner,Taiwan,Regional HQ,Kaohsiung + Taoyuan; typhoon exposure,~470 kbd
86,Engen (Vivo Energy),3 - International,International E&P/Refining,Refiner,South Africa,Regional HQ,Durban refinery; Indian Ocean cyclones; coastal storms,~135 kbd
87,HPCL-Mittal Energy (HMEL),3 - International,International E&P/Refining,Refiner,India,Regional HQ,Bathinda; north India fog + heat,~229 kbd
88,Hindustan Petroleum (HPCL),3 - International,International E&P/Refining,Refiner,India,Regional HQ,Mumbai + Visakhapatnam + Mangalore stake; monsoon ops,~500 kbd gross
89,Mangalore Refinery & Petrochemicals (MRPL),3 - International,International E&P/Refining,Refiner,India,Regional HQ,West coast monsoon; cyclone belt,~199 kbd
90,PTT Global Chemical,3 - International,International E&P/Refining,Refiner,Thailand,Regional HQ,Map Ta Phut; Gulf of Thailand monsoon,~280 kbd
91,PetroVietnam,3 - International,International E&P/Refining,Refiner,Vietnam,Regional HQ,Dung Quat + Nghi Son stake; typhoon belt,~200 kbd
92,Petron Corporation,3 - International,International E&P/Refining,Refiner,Philippines,Regional HQ,Batangas + Bataan; 20 typhoons/year,~440 kbd group
93,Sasol,3 - International,International E&P/Refining,Refiner,South Africa,Regional HQ,Natref JV + Secunda synthfuels; Highveld winter + storms,Natref ~100 kbd + Secunda
94,Tüpraş,3 - International,International E&P/Refining,Refiner,Turkey,Regional HQ,"Izmit + Izmir + Kırıkkale + Batman refineries; Marmara storms, Black Sea winter",~540 kbd total (4 plants)
95,1,ADNOC LNG,1 - Existential,LNG,Producer/Operator,Middle East,Abu Dhabi,Das Island summer heat + Gulf storms
96,130,APA Corp,2 - Expensive,Shale/Onshore E&P,Operator,US/Egypt,Houston TX,Permian + Egypt desert ops
97,131,ARC Resources,2 - Expensive,Shale/Onshore E&P,Operator,Canada,Calgary,Montney weather + LNG link
98,132,Aethon Energy,2 - Expensive,Shale/Onshore E&P,Operator,US (private),Greenwich CT,Haynesville storms
99,133,Antero Resources,2 - Expensive,Shale/Onshore E&P,Operator,US Appalachia,Denver CO,Freeze + midstream dependency
100,134,Ascent Resources,2 - Expensive,Shale/Onshore E&P,Operator,US Ohio,Oklahoma City,Utica freeze
101,164,Archer Limited,2 - Expensive,Field Services,Services/Equipment,Global,Aberdeen,Platform drilling weather
102,182,ADNOC (group),3 - International,International E&P/Refining,Operator,Middle East,Abu Dhabi,Summer heat 50C; Gulf shamals; Das Island
103,2,Argent LNG,1 - Existential,LNG,Producer/Operator,US Gulf,Baton Rouge LA,Louisiana surge corridor
104,224,AET Tankers,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Kuala Lumpur,FPSO + tankers (MISC group)
105,56,Aker BP,1 - Existential,Offshore E&P,Operator/Driller/Marine,North Sea,Lysaker,Edvard Grieg/Johan Sverdrup partner
106,57,Allseas,1 - Existential,Offshore E&P,Operator/Driller/Marine,Global,Geneva,Pioneering Spirit weather windows
107,58,Arena Energy,1 - Existential,Offshore E&P,Operator/Driller/Marine,US Gulf,The Woodlands TX,GoM shelf
108,99,AltaGas,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,Canada/Asia,Calgary,PNG LNG export + utilities
109,100,Buckeye Partners,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US (private),Houston TX,Bahamas/Caribbean terminal hurricanes
110,165,Baker Hughes,2 - Expensive,Field Services,Services/Equipment,Global,Houston TX,LNG equipment + services weather
111,183,Bapco,3 - International,International E&P/Refining,Operator,Middle East,Manama,Bahrain refinery weather
112,184,Bharat Petroleum,3 - International,International E&P/Refining,Operator,India,Mumbai,Monsoon refining ops
113,225,BW Group,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Singapore,LNG + tankers + offshore
114,226,Berge Bulk,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Singapore,Dry bulk cape routing
115,227,Bisso Towboat,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,US Gulf,New Orleans LA,Harbor tugs storms
116,3,Berkshire Hathaway Energy,1 - Existential,LNG,Producer/Operator,US Atlantic,Des Moines IA,Chesapeake winter storm + LNG ops
117,59,Beacon Offshore,1 - Existential,Offshore E&P,Operator/Driller/Marine,US Gulf,Dallas TX,GoM producer
118,60,Boskalis,1 - Existential,Offshore E&P,Operator/Driller/Marine,Global,Papendrecht,Marine works weather
119,101,Colonial Pipeline,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US Southeast,Alpharetta GA,Southeast hurricanes (history) + freeze
120,135,CNX Resources,2 - Expensive,Shale/Onshore E&P,Operator,US Appalachia,Pittsburgh PA,Freeze events
121,136,Canadian Natural (thermal oil),2 - Expensive,Shale/Onshore E&P,Operator,Canada,Calgary,Mild lake bitumen freeze/thaw
122,137,Chord Energy,2 - Expensive,Shale/Onshore E&P,Operator,US Bakken,Williston ND,Bakken freeze exposure
123,138,Civitas Resources,2 - Expensive,Shale/Onshore E&P,Operator,US DJ/Permian,Denver CO,DJ blizzards; Permian heat
124,139,Comstock Resources,2 - Expensive,Shale/Onshore E&P,Operator,US Haynesville,Frisco TX,Hurricane corridor gas ops (Jerry Jones-owned)
125,140,Continental Resources,2 - Expensive,Shale/Onshore E&P,Operator,US Bakken,Oklahoma City,Bakken freeze (-30F events)
126,141,Coterra Energy,2 - Expensive,Shale/Onshore E&P,Operator,US,Houston TX,Permian + Marcellus freeze
127,166,Calfrac Well Services,2 - Expensive,Field Services,Services/Equipment,US/Canada,Calgary,Canadian frac freeze; US heat
128,167,Core Laboratories,2 - Expensive,Field Services,Services/Equipment,Global,Houston TX,Lab ops less weather-bound (low priority)
129,185,CNOOC Ltd,3 - International,International E&P/Refining,Operator,China,Beijing,Same check
130,186,Cairn India (Vedanta),3 - International,International E&P/Refining,Operator,India,New Delhi,Rajasthan heat + monsoon
131,187,Cepsa,3 - International,International E&P/Refining,Operator,Spain,Madrid,Canary Islands + Gibraltar strait ops
132,228,Castleton Commodities,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,US,Stamford CT,Chartering weather
133,229,Cool Company,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Hamilton BM,LNG carriers
134,230,Crosby Tugs,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,US Gulf,Houma LA,Gulf tug/barge storms
135,26,CVR Energy,1 - Existential,Refining,Refiner,US Midcon,Sugar Land TX,Coffeyville flooding history
136,27,Calumet,1 - Existential,Refining,Refiner,US Midcon,Indianapolis IN,Specialty ops freeze
137,28,Citgo,1 - Existential,Refining,Refiner,US Gulf,Houston TX,Lake Charles direct hurricane path (Laura/Rita history)
138,4,Cheniere Energy,1 - Existential,LNG,Producer/Operator,US Gulf,Houston TX,Surge + lightning halt loading at Sabine/Corpus
139,5,Chevron (LNG),1 - Existential,LNG,Producer/Operator,APAC/US,San Ramon CA,Cyclone exposure NW Shelf Australia
140,6,ConocoPhillips (LNG),1 - Existential,LNG,Producer/Operator,US Gulf,Houston TX,Port Arthur ACP surge + Qatar JV
141,61,CNOOC International,1 - Existential,Offshore E&P,Operator/Driller/Marine,North Sea/GoM,Calgary,Buzzard North Sea storms
142,62,Cenovus (Offshore),1 - Existential,Offshore E&P,Operator/Driller/Marine,Atlantic Canada,Calgary,Newfoundland icebergs + North Atlantic
143,63,Crescent Energy,1 - Existential,Offshore E&P,Operator/Driller/Marine,GoM/Eagle Ford,Fort Worth TX,GoM shelf storms
144,102,DT Midstream,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US,Detroit,Haynesville/Appalachia freeze
145,142,Devon Energy,2 - Expensive,Shale/Onshore E&P,Operator,US,Oklahoma City,Permian/Bakken/Anadarko
146,143,Diamondback Energy,2 - Expensive,Shale/Onshore E&P,Operator,US Permian,Midland TX,Permian heat + lightning
147,168,Distribution Now,2 - Expensive,Field Services,Services/Equipment,US,Houston TX,Supply chain weather
148,231,DHT Holdings,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Hamilton BM,Crude tankers storm routing
149,232,Dynagas,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Athens,LNG carriers ice-class
150,29,Deer Park Refining LP,1 - Existential,Refining,Refiner,US Gulf,Deer Park TX,Houston Ship Channel surge/lightning
151,30,Delek US,1 - Existential,Refining,Refiner,US Gulf,Brentwood TN,Tyler/Big Spring tornado alley
152,64,Diamond Offshore,1 - Existential,Offshore E&P,Operator/Driller/Marine,Global,Houston TX,GoM storm history
153,7,Delfin LNG,1 - Existential,LNG,Producer/Operator,US Gulf,Houston TX,Deepwater port hurricane exposure
154,10,Exmar,1 - Existential,LNG,Producer/Operator,Global,Antwerp,FLNG/tanker marine weather
155,103,EnLink Midstream,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US,Houston TX,North Texas freeze exposure
156,104,Energy Transfer,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US,Dallas TX,Bakken pipeline freeze; Gulf export
157,105,Enterprise Products Partners,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US Gulf,Houston TX,Mont Belvieu lightning; offshore ports
158,106,Explorer Pipeline,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US Midcon,Tulsa OK,Tornado corridor
159,11,ExxonMobil (LNG),1 - Existential,LNG,Producer/Operator,Global,Spring TX,Golden Pass surge risk; Qatar partner ops
160,144,EOG Resources,2 - Expensive,Shale/Onshore E&P,Operator,US,Denver CO,Permian/EF/DJ heat + freeze; Trinidad
161,145,EQT,2 - Expensive,Shale/Onshore E&P,Operator,US Appalachia,Pittsburgh PA,Appalachian winter storms (Uri history)
162,146,Expand Energy,2 - Expensive,Shale/Onshore E&P,Operator,US Haynesville,Oklahoma City,Haynesville hurricane corridor
163,169,Expro Group,2 - Expensive,Field Services,Services/Equipment,Global,Houston TX,Well services weather
164,188,EGPC/EGAS,3 - International,International E&P/Refining,Operator,Egypt,Cairo,Suez wind; Zohr ops
165,189,ENH Mozambique,3 - International,International E&P/Refining,Operator,East Africa,Maputo,Cyclone belt (Idai!)
166,31,ENEOS (JXTG),1 - Existential,Refining,Refiner,Japan,Tokyo,Typhoon exposure nationwide system
167,32,Ecopetrol (Refining),1 - Existential,Refining,Refiner,Colombia,Bogota,Caribbean hurricanes at Cartagena
168,65,Edison Chouest,1 - Existential,Offshore E&P,Operator/Driller/Marine,US Gulf,Galliano LA,THE GoM OSV fleet; Fourchon home port
169,66,EnVen Energy,1 - Existential,Offshore E&P,Operator/Driller/Marine,US Gulf,New Orleans LA,GoM producer
170,67,Eni (Offshore),1 - Existential,Offshore E&P,Operator/Driller/Marine,Global,Milan,West Africa squalls + Norway
171,68,Equinor,1 - Existential,Offshore E&P,Operator/Driller/Marine,North Sea,Stavanger,Sverdrup/Castberg Arctic + North Sea storms
172,69,Equinor Canada,1 - Existential,Offshore E&P,Operator/Driller/Marine,Atlantic Canada,St. John's,Bay du Nord; N Atlantic storms
173,70,ExxonMobil Canada (Hibernia),1 - Existential,Offshore E&P,Operator/Driller/Marine,Atlantic Canada,St. John's,Iceberg season ops
174,8,Enbridge (LNG/midstream),1 - Existential,LNG,Producer/Operator,US Gulf,Calgary,Gulf import/export positions
175,9,Excelerate Energy,1 - Existential,LNG,Producer/Operator,Global,The Woodlands TX,FSRU berthing weather windows worldwide
176,233,Flex LNG,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Hamilton BM,LNG carrier scheduling
177,234,Freepoint Commodities,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,US,Stamford CT,Gas/power weather books
178,235,Frontline,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Hamilton BM,Tanker weather routing + storm delays
179,33,Flint Hills Resources,1 - Existential,Refining,Refiner,US Gulf/Midwest,Wichita KS,Corpus lightning; Pine Bend blizzards
180,107,Genesis Energy,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US Gulf,Houston TX,Offshore pipelines + soda ash
181,108,Gibson Energy,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,Canada,Calgary,Hardisty terminal weather
182,109,Global Partners,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US NE,Waltham MA,New England winter fuel logistics
183,110,Greater Lafourche Port Comm.,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US Gulf,Galliano LA,Port Fourchon = GoM service hub; every storm
184,147,Gulfport Energy,2 - Expensive,Shale/Onshore E&P,Operator,US,Oklahoma City,Utica/Scoop weather
185,190,GNPC,3 - International,International E&P/Refining,Operator,West Africa,Accra,Jubilee weather
186,191,Galp,3 - International,International E&P/Refining,Operator,Portugal,Lisbon,Sines refinery Atlantic storms
187,236,GasLog,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Piraeus,LNG carrier weather windows
188,237,Gunvor,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Geneva,Rotterdam assets + routing
189,34,GS Caltex,1 - Existential,Refining,Refiner,Korea,Seoul,Typhoon exposure Yeosu
190,111,Howard Energy Partners,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US (private),San Antonio,Eagle Ford + Gulf
191,12,Höegh Eviivo,1 - Existential,LNG,Producer/Operator,Global,Oslo,FSRU ops marine weather windows
192,148,HighPeak Energy,2 - Expensive,Shale/Onshore E&P,Operator,US Permian,Midland TX,Howard County heat
193,149,Hilcorp,2 - Expensive,Shale/Onshore E&P,Operator,US (private),Houston TX,GoM + Cook Inlet extreme ops
194,170,Halliburton,2 - Expensive,Field Services,Services/Equipment,Global,Houston TX,Frack crew weather downtime; Permian heat
195,171,Helmerich & Payne,2 - Expensive,Field Services,Services/Equipment,US,Tulsa OK,Rig move weather
196,192,Heritage Petroleum,3 - International,International E&P/Refining,Operator,Caribbean,Port of Spain,Trinidad hurricanes
197,193,Hilcorp Alaska,3 - International,International E&P/Refining,Operator,US Alaska,Anchorage,Arctic + Cook Inlet ice
198,238,Hartree Partners,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,US/UK,New York,Weather-driven trading books
199,35,HF Sinclair,1 - Existential,Refining,Refiner,US Midcon/Rockies,Dallas TX,Tulsa ice; Cheyenne blizzards
200,36,Hellenic Petroleum,1 - Existential,Refining,Refiner,Greece,Athens,Thessaloniki/N Med weather
201,37,Hyundai Oilbank,1 - Existential,Refining,Refiner,Korea,Seoul,Daesan typhoon exposure
202,71,Harbour Energy,1 - Existential,Offshore E&P,Operator/Driller/Marine,North Sea/SE Asia,London,Premier+Chrysaor; NS storms
203,72,Harvey Gulf,1 - Existential,Offshore E&P,Operator/Driller/Marine,US Gulf,New Orleans LA,OSV + subsea support
204,73,Heerema,1 - Existential,Offshore E&P,Operator/Driller/Marine,Global,Leiden,Heavy-lift windows
205,74,Hess,1 - Existential,Offshore E&P,Operator/Driller/Marine,Guyana,Houston TX,Guyana co-owner; Atlantic tropical belt
206,75,Hornbeck Offshore,1 - Existential,Offshore E&P,Operator/Driller/Marine,US Gulf,Covington LA,OSV ops
207,13,INPEX,1 - Existential,LNG,Producer/Operator,APAC,Tokyo,Ichthys cyclone exposure (NW Shelf)
208,150,Imperial Oil,2 - Expensive,Shale/Onshore E&P,Operator,Canada,Calgary,Kearl/Cold Lake -40 ops
209,194,Indian Oil Corp,3 - International,International E&P/Refining,Operator,India,New Delhi,Refining + product logistics monsoon
210,239,International Seaways,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,New York NY,Product + crude routing
211,38,Idemitsu Kosan,1 - Existential,Refining,Refiner,Japan,Tokyo,Typhoons; Hokkaido snow
212,76,Ithaca Energy,1 - Existential,Offshore E&P,Operator/Driller/Marine,North Sea,Aberdeen,NS portfolio
213,195,JX Nippon Oil & Gas,3 - International,International E&P/Refining,Operator,Japan,Tokyo,Ichthys stake + Japan ops
